sample,batch,merge_id,merge_batch,condition,r1_L1,r1_L2,r1_L3,r1_L4,r2_L1,r2_L2,r2_L3,r2_L4
MV-4-11DMSO-1,2025_03_26,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0001_good_1.fq.gz,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0001_good_2.fq.gz,,,
MV-4-11DMSO-2,2025_03_26,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0002_good_1.fq.gz,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0002_good_2.fq.gz,,,
MV-4-11Gilteritinib4nM-1,2025_03_26,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0003_good_1.fq.gz,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0003_good_2.fq.gz,,,
MV-4-11Gilteritinib4nM-2,2025_03_26,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0004_good_1.fq.gz,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0004_good_2.fq.gz,,,
MV-4-11Clofarabine80nM-1,2025_03_26,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0005_good_1.fq.gz,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0005_good_2.fq.gz,,,
MV-4-11Clofarabine80nM-2,2025_03_26,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0006_good_1.fq.gz,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0006_good_2.fq.gz,,,
MV-4-11Gilt+Clof-1,2025_03_26,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0007_good_1.fq.gz,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0007_good_2.fq.gz,,,
MV-4-11Gilt+Clof-2,2025_03_26,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0008_good_1.fq.gz,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0008_good_2.fq.gz,,,
MV-4-11G12CDMSO-1,2025_03_26,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0009_good_1.fq.gz,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0009_good_2.fq.gz,,,
MV-4-11G12CDMSO-2,2025_03_26,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0010_good_1.fq.gz,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0010_good_2.fq.gz,,,
MV-4-11G12CGilteritinib4nM-1,2025_03_26,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0011_good_1.fq.gz,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0011_good_2.fq.gz,,,
MV-4-11G12CGilteritinib4nM-2,2025_03_26,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0012_good_1.fq.gz,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0012_good_2.fq.gz,,,
MV-4-11G12CClofarabine80nM-1,2025_03_26,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0013_good_1.fq.gz,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0013_good_2.fq.gz,,,
MV-4-11G12CClofarabine80nM-2,2025_03_26,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0014_good_1.fq.gz,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0014_good_2.fq.gz,,,
MV-4-11G12CGilt+Clof-1,2025_03_26,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0015_good_1.fq.gz,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0015_good_2.fq.gz,,,
MV-4-11G12CGilt+Clof-2,2025_03_26,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0016_good_1.fq.gz,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0016_good_2.fq.gz,,,
MV-4-11Q61KDMSO-1,2025_03_26,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0017_good_1.fq.gz,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0017_good_2.fq.gz,,,
MV-4-11Q61KDMSO-2,2025_03_26,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0018_good_1.fq.gz,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0018_good_2.fq.gz,,,
MV-4-11Q61KGilteritinib4nM-1,2025_03_26,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0019_good_1.fq.gz,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0019_good_2.fq.gz,,,
MV-4-11Q61KGilteritinib4nM-2,2025_03_26,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0020_good_1.fq.gz,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0020_good_2.fq.gz,,,
MV-4-11Q61KClofarabine80nM-1,2025_03_26,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0021_good_1.fq.gz,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0021_good_2.fq.gz,,,
MV-4-11Q61KClofarabine80nM-2,2025_03_26,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0022_good_1.fq.gz,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0022_good_2.fq.gz,,,
MV-4-11Q61KGilt+Clof-1,2025_03_26,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0023_good_1.fq.gz,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0023_good_2.fq.gz,,,
MV-4-11Q61KGilt+Clof-2,2025_03_26,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0024_good_1.fq.gz,,,,/home/apompetti/data/2025Mar27_Jian_Analysis_Request/data/fastq/Unknown_CM538-001T0024_good_2.fq.gz,,,